,Address,Sale Date,Sale Price,Acres,Year  Built,Square Ft,price_number,price_sf,Year,lat,long,GEOID
0,1 CUNNINGHAM PT,12/1/21,"$2,400,000 ",5.06,1995,"4,675",2400000,513.368984,2021,34.2344975,-84.1614431,13117130411
1,1001 LEXINGTON GREEN PNES,7/29/22,"$546,500 ",0.06,2022,"2,731",546500,200.1098499,2022,34.2480982,-84.0966278,13117130411
2,1002 LEXINGTON GREEN PNES,7/29/22,"$515,300 ",0.06,2022,"2,339",515300,220.3078239,2022,34.2480982,-84.0966278,13117130411
3,1003 LEXINGTON GREEN PNES,7/29/22,"$510,230 ",0.06,2022,"2,339",510230,218.1402309,2022,34.2480982,-84.0966278,13117130411
4,101 ESSEX GLEN CV,12/9/22,"$566,010 ",0.06,2022,"2,349",566010,240.9578544,2022,34.2485597,-84.0991714,13117130411
5,101 TOWER RD,2/7/22,"$268,000 ",1.62,1966,"3,212",268000,83.43711083,2022,34.2278465,-84.1585376,13117130411
6,102 ESSEX GLEN CV,12/9/22,"$541,410 ",0.06,2022,"2,296",541410,235.8057491,2022,34.2485597,-84.0991714,13117130411
7,103 LEXINGTON GREEN PNES,12/9/22,"$564,070 ",0.06,2022,"2,295",564070,245.7821351,2022,34.249399,-84.0971213,13117130411
8,103 TOWER RD,6/16/22,"$274,900 ",0.58,1970,"2,572",274900,106.881804,2022,34.2286235,-84.1584964,13117130411
9,1101 LEXINGTON GREEN PNES,6/3/22,"$473,870 ",0.06,2022,"2,164",473870,218.9787431,2022,34.2480982,-84.0966278,13117130411
10,1102 LEXINGTON GREEN PNES,6/3/22,"$456,240 ",0.06,2022,"2,054",456240,222.1226874,2022,34.2480982,-84.0966278,13117130411
11,115 BARKER RD,12/14/18,"$550,000 ",1.0,2017,"2,097",550000,262.2794468,2018,34.2360919,-84.1599389,13117130411
12,1201 LEXINGTON GREEN PNES,9/23/22,"$648,485 ",0.06,2022,"2,807",648485,231.0242252,2022,34.2480982,-84.0966278,13117130411
13,1202 LEXINGTON GREEN PNES,9/23/22,"$560,180 ",0.06,2022,"2,303",560180,243.2392531,2022,34.2494037,-84.096206,13117130411
14,1203 LEXINGTON GREEN PNES,9/23/22,"$561,890 ",0.06,2022,"2,282",561890,246.2269939,2022,34.2494037,-84.096206,13117130411
15,1285 SMITHDALE RD,3/15/19,"$312,000 ",1.0,1955,"2,500",312000,124.8,2019,34.2352091,-84.1686297,13117130411
16,1290 SMITHDALE HEIGHTS DR,12/31/18,"$310,000 ",1.06,2006,"1,871",310000,165.6867985,2018,34.2348867,-84.1673566,13117130411
17,1290 SMITHDALE RD,12/16/22,"$450,000 ",1.19,1990,"1,602",450000,280.8988764,2022,34.2359527,-84.1679335,13117130411
18,1300 SMITHDALE HEIGHTS DR,5/7/20,"$445,000 ",1.06,2006,"2,440",445000,182.3770492,2020,34.2350816,-84.1669033,13117130411
19,1301 LEXINGTON GREEN PNES,7/1/22,"$469,760 ",0.06,2022,"2,218",469760,211.7944094,2022,34.2494037,-84.096206,13117130411
20,1302 LEXINGTON GREEN PNES,7/1/22,"$504,140 ",0.06,2022,"2,154",504140,234.0482823,2022,34.2494037,-84.096206,13117130411
21,1303 LEXINGTON GREEN PNES,7/1/22,"$499,040 ",0.06,2022,"2,086",499040,239.2329818,2022,34.2494037,-84.096206,13117130411
22,1304 LEXINGTON GREEN PNES,7/1/22,"$504,080 ",0.06,2022,"2,218",504080,227.2678088,2022,34.2494037,-84.096206,13117130411
23,1305 SMITHDALE HEIGHTS DR,3/21/22,"$473,000 ",1.06,2006,"2,426",473000,194.9711459,2022,34.2357504,-84.1664088,13117130411
24,1330 SMITHDALE HEIGHTS DR,7/1/19,"$510,000 ",1.87,2001,"2,971",510000,171.6593739,2019,34.2349886,-84.1644926,13117130411
25,1340 DR BRAMBLETT RD,10/31/19,"$323,000 ",2.28,1999,"1,930",323000,167.357513,2019,34.236934,-84.168346,13117130411
26,1350 DR BRAMBLETT RD,2/13/18,"$140,000 ",0.9,1962,"1,200",140000,116.6666667,2018,34.2369534,-84.1698702,13117130411
27,1390 DR BRAMBLETT RD,8/28/19,"$170,000 ",0.91,1964,"1,272",170000,133.6477987,2019,34.2381139,-84.1697053,13117130411
28,1403 LEXINGTON GREEN PNES,12/12/22,"$571,120 ",0.06,2022,"2,369",571120,241.0806247,2022,34.2494037,-84.096206,13117130411
29,1435 JACKSON DR,10/15/20,"$264,850 ",0.83,1965,"1,160",264850,228.3189655,2020,34.2280316,-84.1438022,13117130411
30,1485 CAMDEN COVE DR,12/31/19,"$395,000 ",0.22,2006,"2,885",395000,136.915078,2019,34.2293032,-84.1373504,13117130411
31,1490 CAMDEN COVE DR,6/25/18,"$334,000 ",0.2,2007,"2,735",334000,122.1206581,2018,34.229736,-84.1373504,13117130411
32,1495 CAMDEN COVE DR,6/26/18,"$359,900 ",0.21,2006,"2,614",359900,137.6817138,2018,34.2292944,-84.1376184,13117130411
33,1501 LEXINGTON GREEN PNES,5/6/22,"$433,300 ",0.06,2022,"2,187",433300,198.1252858,2022,34.24948229,-84.09624971,13117130411
34,1502 LEXINGTON GREEN PNES,5/6/22,"$390,540 ",0.06,2022,"2,111",390540,185.0023685,2022,34.2494037,-84.096206,13117130411
35,1503 LEXINGTON GREEN PNES,5/6/22,"$359,395 ",0.06,2022,"1,786",359395,201.2290034,2022,34.2494037,-84.096206,13117130411
36,1504 LEXINGTON GREEN PNES,5/6/22,"$392,250 ",0.06,2021,"1,719",392250,228.1849913,2022,34.2494037,-84.096206,13117130411
37,1510 HUGHES DR,11/10/21,"$467,000 ",1.72,2002,"2,454",467000,190.3015485,2021,34.2424652,-84.1212283,13117130411
38,1515 GORDON RD,9/7/18,"$204,000 ",0.95,1977,"1,316",204000,155.0151976,2018,34.2393315,-84.1689224,13117130411
39,1535 CAMDEN COVE DR,10/27/22,"$674,900 ",0.22,2008,"2,673",674900,252.4878414,2022,34.2294764,-84.1382574,13117130411
40,1535 DAHLONEGA HWY,11/19/20,"$270,000 ",2.78,1950,"1,310",270000,206.1068702,2020,34.2402722,-84.1206097,13117130411
41,1565 CAMDEN COVE DR,12/2/19,"$382,500 ",0.22,2017,"3,115",382500,122.7929374,2019,34.2296377,-84.138917,13117130411
42,1580 NESTLEDOWN DR,5/31/19,"$432,700 ",0.23,2019,"2,567",432700,168.5625243,2019,34.2277117,-84.1502533,13117130411
43,1590 HUGHES DR,12/27/21,"$600,000 ",5.19,2015,"2,613",600000,229.6211251,2021,34.2445218,-84.1225019,13117130411
44,1590 NESTLEDOWN DR,4/30/18,"$429,753 ",0.21,2018,"3,145",429753,136.6464229,2018,34.2274973,-84.1502945,13117130411
45,1595 NESTLEDOWN DR,5/24/18,"$408,430 ",0.27,2018,"2,749",408430,148.5740269,2018,34.2275937,-84.1495938,13117130411
46,1601 LEXINGTON GREEN PNES,8/12/22,"$616,760 ",0.06,2022,"2,821",616760,218.6316909,2022,34.2494037,-84.096206,13117130411
47,1602 LEXINGTON GREEN PNES,8/12/22,"$605,985 ",0.06,2022,"2,821",605985,214.8121234,2022,34.2496058,-84.0962082,13117130411
48,1605 NESTLEDOWN DR,4/2/18,"$402,825 ",0.21,2017,"2,499",402825,161.1944778,2018,34.2273587,-84.1496556,13117130411
49,1605 SAWNEE MEADOW LN,11/30/21,"$388,518 ",0.68,1971,"1,906",388518,203.8394544,2021,34.231986,-84.136687,13117130411
50,1610 NESTLEDOWN DR,4/12/18,"$468,220 ",0.21,2018,"2,749",468220,170.3237541,2018,34.2272996,-84.1502327,13117130411
51,1615 GORDON RD,2/22/18,"$200,000 ",0.98,1981,"1,670",200000,119.760479,2018,34.2398488,-84.1688812,13117130411
52,1615 NESTLEDOWN DR,10/26/21,"$477,725 ",0.22,2021,"2,734",477725,174.7348208,2021,34.2271895,-84.149738,13117130411
53,1620 NESTLEDOWN DR,8/10/18,"$441,660 ",0.21,2018,"2,706",441660,163.2150776,2018,34.2271265,-84.1502327,13117130411
54,1625 SAWNEE MEADOW LN,6/30/22,"$925,000 ",0.73,2019,"3,399",925000,272.1388644,2022,34.2320324,-84.1369588,13117130411
55,1625 SAWNEE MEADOW LN,1/8/21,"$808,000 ",0.73,2019,"3,399",808000,237.7169756,2021,34.2320324,-84.1369588,13117130411
56,1630 CAMDEN COVE DR,4/29/22,"$600,000 ",0.25,2007,"2,410",600000,248.9626556,2022,34.230094,-84.1385048,13117130411
57,1630 NESTLEDOWN DR,5/16/19,"$395,000 ",0.21,2018,"2,160",395000,182.8703704,2019,34.2269347,-84.1502945,13117130411
58,1645 BETTIS TRIBBLE GAP RD,10/30/18,"$284,500 ",0.66,1926,"2,064",284500,137.8391473,2018,34.2335734,-84.1361548,13117130411
59,1645 NESTLEDOWN DR,4/28/20,"$456,075 ",0.23,2019,"2,705",456075,168.6044362,2020,34.2269918,-84.1496762,13117130411
60,1650 JACKSON CT,4/26/22,"$550,100 ",0.92,1987,"2,112",550100,260.4640152,2022,34.2319135,-84.1458015,13117130411
61,1650 JACKSON CT,4/23/20,"$344,500 ",0.92,1987,"2,112",344500,163.1155303,2020,34.2319135,-84.1458015,13117130411
62,1650 NESTLEDOWN DR,12/21/18,"$383,750 ",0.21,2018,"2,163",383750,177.4156264,2018,34.2265728,-84.1499647,13117130411
63,1655 GORDON RD,11/11/20,"$170,000 ",1.3,1982,"1,602",170000,106.1173533,2020,34.241638,-84.169117,13117130411
64,1660 NESTLEDOWN DR,3/2/21,"$427,730 ",0.21,2020,"2,531",427730,168.9964441,2021,34.2265836,-84.149738,13117130411
65,1675 BETTIS TRIBBLE GAP RD,7/30/18,"$199,555 ",0.77,1985,"1,458",199555,136.8689986,2018,34.2343424,-84.1359487,13117130411
66,1675 NESTLEDOWN DR,11/10/20,"$438,375 ",0.21,2020,"2,585",438375,169.5841393,2020,34.2270007,-84.1494083,13117130411
67,1685 JACKSON CT,8/30/21,"$405,000 ",1.58,1986,"2,198",405000,184.2584167,2021,34.2306625,-84.144977,13117130411
68,1685 JACKSON CT,9/9/19,"$260,000 ",1.58,1986,"2,198",260000,118.289354,2019,34.2306625,-84.144977,13117130411
69,1690 NESTLEDOWN DR,6/22/21,"$438,180 ",0.24,2021,"2,509",438180,174.6432842,2021,34.2265709,-84.1490167,13117130411
70,1695 NESTLEDOWN DR,11/4/21,"$449,270 ",0.21,2021,"2,688",449270,167.1391369,2021,34.2269771,-84.1489136,13117130411
71,1701 LEXINGTON GREEN PNES,9/7/21,"$345,230 ",0.06,2021,"2,346",345230,147.1568627,2021,34.24962712,-84.09671488,13117130411
72,1702 LEXINGTON GREEN PNES,9/3/21,"$361,150 ",0.06,2021,"2,131",361150,169.4744252,2021,34.249401,-84.0966498,13117130411
73,1703 LEXINGTON GREEN PNES,9/3/21,"$352,325 ",0.06,2021,"1,796",352325,196.172049,2021,34.2494353,-84.0967595,13117130411
74,1704 LEXINGTON GREEN PNES,9/3/21,"$329,885 ",0.06,2021,"1,640",329885,201.1493902,2021,34.2494006,-84.0967603,13117130411
75,1705 NESTLEDOWN DR,5/31/19,"$466,881 ",0.21,2017,"2,755",466881,169.4667877,2019,34.2269653,-84.1486663,13117130411
76,1714 SAWNEE MEADOW LN,6/21/22,"$525,000 ",2.06,1993,"2,173",525000,241.6014726,2022,34.232772,-84.1397622,13117130411
77,1714 SAWNEE MEADOW LN,3/2/20,"$408,000 ",2.06,1993,"2,173",408000,187.7588587,2020,34.232772,-84.1397622,13117130411
78,1715 DAHLONEGA HWY,10/31/22,"$1,280,000 ",40.96,1940,"1,063",1280000,1204.139229,2022,34.2442798,-84.1170243,13117130411
79,1715 NESTLEDOWN DR,9/30/20,"$440,323 ",0.21,2019,"2,708",440323,162.6008124,2020,34.2269535,-84.148419,13117130411
80,1715 SAWNEE MEADOW LN,7/6/18,"$535,000 ",8.38,1989,"3,733",535000,143.3163675,2018,34.230744,-84.140127,13117130411
81,1725 JACKSON CT,3/29/20,"$260,000 ",1.03,1986,"2,036",260000,127.7013752,2020,34.2304117,-84.1465229,13117130411
82,1725 NESTLEDOWN DR,1/15/21,"$432,500 ",0.21,2019,"2,752",432500,157.1584302,2021,34.2269231,-84.1482335,13117130411
