,Address,Sale Date,Sale Price,Acres,Year  Built,Square Ft,price_number,price_sf,Year,lat,long,GEOID
0,1 CUNNINGHAM PT,12/1/21,"$2,400,000 ",5.06,1995,"4,675",2400000,513.368984,2021,34.2344975,-84.1614431,13117130411
6,1001 LEXINGTON GREEN PNES,7/29/22,"$546,500 ",0.06,2022,"2,731",546500,200.1098499,2022,34.2480982,-84.0966278,13117130411
13,1002 LEXINGTON GREEN PNES,7/29/22,"$515,300 ",0.06,2022,"2,339",515300,220.3078239,2022,34.2480982,-84.0966278,13117130411
22,1003 LEXINGTON GREEN PNES,7/29/22,"$510,230 ",0.06,2022,"2,339",510230,218.1402309,2022,34.2480982,-84.0966278,13117130411
56,101 ESSEX GLEN CV,12/9/22,"$566,010 ",0.06,2022,"2,349",566010,240.9578544,2022,34.2485597,-84.0991714,13117130411
66,101 TOWER RD,2/7/22,"$268,000 ",1.62,1966,"3,212",268000,83.43711083,2022,34.2278465,-84.1585376,13117130411
125,102 ESSEX GLEN CV,12/9/22,"$541,410 ",0.06,2022,"2,296",541410,235.8057491,2022,34.2485597,-84.0991714,13117130411
199,103 LEXINGTON GREEN PNES,12/9/22,"$564,070 ",0.06,2022,"2,295",564070,245.7821351,2022,34.249399,-84.0971213,13117130411
206,103 TOWER RD,6/16/22,"$274,900 ",0.58,1970,"2,572",274900,106.881804,2022,34.2286235,-84.1584964,13117130411
467,1101 LEXINGTON GREEN PNES,6/3/22,"$473,870 ",0.06,2022,"2,164",473870,218.9787431,2022,34.2480982,-84.0966278,13117130411
471,1102 LEXINGTON GREEN PNES,6/3/22,"$456,240 ",0.06,2022,"2,054",456240,222.1226874,2022,34.2480982,-84.0966278,13117130411
620,115 BARKER RD,12/14/18,"$550,000 ",1.0,2017,"2,097",550000,262.2794468,2018,34.2360919,-84.1599389,13117130411
703,1201 LEXINGTON GREEN PNES,9/23/22,"$648,485 ",0.06,2022,"2,807",648485,231.0242252,2022,34.2480982,-84.0966278,13117130411
709,1202 LEXINGTON GREEN PNES,9/23/22,"$560,180 ",0.06,2022,"2,303",560180,243.2392531,2022,34.2494037,-84.096206,13117130411
715,1203 LEXINGTON GREEN PNES,9/23/22,"$561,890 ",0.06,2022,"2,282",561890,246.2269939,2022,34.2494037,-84.096206,13117130411
1060,1285 SMITHDALE RD,3/15/19,"$312,000 ",1.0,1955,"2,500",312000,124.8,2019,34.2352091,-84.1686297,13117130411
